etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,AMP Ltd.,"39,330","99,409",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,APA Group,"48,291","3,46,430",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Aristocrat Leisure Ltd.,"9,000","2,15,437",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Australia & New Zealand Banking Group Ltd.,"40,050","8,72,354",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Bank of Queensland Ltd.,"14,220","1,17,445",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Bendigo & Adelaide Bank Ltd.,"11,430","99,501",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Brambles Ltd.,"27,810","2,04,259",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Commonwealth Bank of Australia,"23,502","13,06,685",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Computershare Ltd.,"12,060","1,63,081",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Crown Resorts Ltd.,"4,950","49,678",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,CSL Ltd.,"5,400","7,89,263",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Dexus,"18,900","1,41,627",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Domino’s Pizza Enterprises Ltd.,"1,080","40,103",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Fortescue Metals Group Ltd.,"41,760","1,35,664",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Goodman Group,"31,950","2,28,728",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,GPT Group (The),"29,700","1,13,927",,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/18,Australia — 2.1%,Harvey Norman Holdings Ltd.,720,"1,900",,
